001 | 2.8157e-01| 0.0000e+00| 1.5028e+04|
002 | 7.2775e-02| 2.8124e+00| 4.0633e+03|
003 | 3.8797e-02| 2.8820e+00| 1.7951e+03|
004 | 6.0178e-02| 1.6950e+00| 2.1542e+03|
005 | 4.4115e-02| 1.8916e+00| 2.3621e+03|
006 | 3.9321e-02| 1.3341e+00| 2.1423e+03|
008 | 3.1495e-02| 1.3564e+00| 1.9023e+03|
010 | 2.7986e-02| 1.0876e+00| 1.7042e+03|
013 | 9.1450e-03| 1.1454e+00| 8.7334e+02|
017 | 9.7534e-03| 8.7930e-01| 8.0521e+02|
023 | 1.0672e-02| 6.6643e-01| 8.7141e+02|
030 | 7.5734e-03| 4.7975e-01| 7.2881e+02|
040 | 7.0140e-03| 3.3010e-01| 6.7838e+02|
053 | 4.0746e-03| 3.2327e-01| 5.9426e+02|
070 | 3.7776e-03| 2.4258e-01| 5.2278e+02|
093 | 3.5080e-03| 2.2561e-01| 5.0020e+02|
123 | 2.4999e-03| 1.9282e-01| 4.5159e+02|
163 | 2.2092e-03| 1.3046e-01| 4.6805e+02|
217 | 1.7330e-03| 9.5583e-02| 4.6373e+02|
287 | 1.3361e-03| 6.5545e-02| 4.7380e+02|
381 | 1.1223e-03| 6.1384e-02| 4.1805e+02|
505 | 8.5202e-04| 4.7012e-02| 3.6354e+02|
670 | 7.4290e-04| 4.3116e-02| 2.8213e+02|
889 | 6.0793e-04| 3.5237e-02| 2.3905e+02|
1180 | 5.5791e-04| 3.0472e-02| 1.9328e+02|
1566 | 4.0916e-04| 2.9477e-02| 1.4958e+02|
2078 | 2.9913e-04| 2.6052e-02| 1.1025e+02|
2757 | 2.1250e-04| 2.3439e-02| 8.1830e+01|
3658 | 1.3868e-04| 1.9984e-02| 6.5907e+01|
4854 | 1.1076e-04| 1.8830e-02| 5.2609e+01|
6441 | 9.1771e-05| 1.6929e-02| 4.6052e+01|
8548 | 7.2310e-05| 1.5188e-02| 4.3052e+01|
10000 | 6.7394e-05| 1.4345e-02| 4.2271e+01|
